1,Blattgemüse,http://purl.obolibrary.org/obo/FOODON_03540359,,,,
2,Cypriniden (Karpfenartige),http://purl.obolibrary.org/obo/FOODON_03542214,,,,
3,Enten und Gänse,http://purl.obolibrary.org/obo/FOODON_03411316,,,,
4,Gemüse,http://purl.obolibrary.org/obo/FOODON_03401227,,,,
5,Getreide,http://purl.obolibrary.org/obo/FOODON_03401240,,,,
6,Huhn,http://purl.obolibrary.org/obo/NCBITaxon_9031,,,,
7,Kälber zur Mast (aufgezogen in Mastrinderbetrieben),http://purl.obolibrary.org/obo/FOODON_03411349,,,,
8,Kälber zur Mast (aufgezogen in Milchviehbetrieben),http://purl.obolibrary.org/obo/FOODON_03304398,,,,
9,Kälber zur Mast (für die Schlachtung mit spätestens 12 Monaten),http://purl.obolibrary.org/obo/FOODON_03542074,,,,
10,Kräuter,http://purl.obolibrary.org/obo/FOODON_03400688,,,,
11,Krebstiere,http://purl.obolibrary.org/obo/FOODON_03542483,,,,
12,Lamm,http://purl.obolibrary.org/obo/FOODON_03411669,,,,
13,Läufer bis 30 kg,http://purl.obolibrary.org/obo/FOODON_00003373,,,,
14,Lebensmittel aus Blättern und Gräsern,http://purl.obolibrary.org/obo/FOODON_03413378,,,,
15,Legehennen,http://purl.obolibrary.org/obo/FOODON_00004301,,,,
16,"Legehennen, konventionell",,,,,
17,Mastgeflügel,http://purl.obolibrary.org/obo/FOODON_03510018,,,,
18,Masthähnchen,http://purl.obolibrary.org/obo/FOODON_03411198,,,,
19,"Masthähnchen, konventionell",,,,,
20,"Masthähnchen, ökologisch",,,,,
21,Mastkalb/Jungrind,,,,,
22,Mastputen,,,,,
23,"Mastputen, konventionell",,,,,
24,"Mastputen, ökologisch",,,,,
25,Mastrind,,,,,
26,Mastschwein,http://purl.obolibrary.org/obo/FOODON_00003371,,,,
27,Mastschwein bis 50 kg,,,,,
28,"Mastschwein, konventionell",,,,,
29,"Mastschwein, ökologisch",,,,,
30,Milchrind,,,,,
31,"Milchrind, konventionell",,,,,
32,"Milchrind, ökologisch",,,,,
33,Nutztiere,Q1797813,,,,
34,Obst,http://purl.obolibrary.org/obo/FLOPO_0016496,,,,
35,Rehwild,http://purl.obolibrary.org/obo/FOODON_03411583,,,,
36,Rind,http://purl.obolibrary.org/obo/FOODON_03510019,,,,
37,Schaf und Ziege für Milchproduktion,,,,,
38,Tilapia und Pangasius,http://purl.obolibrary.org/obo/FOODON_03542238,,,,
39,Wiederkäuer,Q842175,,,,
40,Wiederkäuer für Milchproduktion,,,,,
41,Wildschwein,http://purl.obolibrary.org/obo/FOODON_00004286,,,,
42,Wildwiederkäuer,Q59941709,,,,
43,"Zuchthühner, Lege- und Mastlinie",,,,,
44,"Zuchthühner, Legelinie",,,,,
45,"Zuchthühner, Mastlinie",,,,,
46,Zuchtputen,http://purl.obolibrary.org/obo/FOODON_03414166,,,,
47,Zuchtsauen,http://purl.obolibrary.org/obo/FOODON_00003333,,,,
48,Zweischalige Weichtiere,http://purl.obolibrary.org/obo/FOODON_03412113,,,,
