1,"Konsumeier, sortiert",,,,,
2,Frische Kräuter,,,,,
3,Sammelmilch,,,,,
4,Ölsaaten/Ölfruchte und Extraktionsschrote,,,,,
5,Petersilie,,,,,
6,Frisches Fleisch,https://w3id.org/hso#ZOO_CAT_FOODVH_A01QR,,,,
7,Blatt- und Kopfsalate,,,,,
8,Weizenmehl,,,,,
9,Sprossen,,,,,
10,"(Hals),haut",,,,,
11,Schlachtkörper,,,,,
12,Kot/Staub,http://purl.obolibrary.org/obo/UBERON_0001988,,,,
13,Schlachtkörper,http://purl.obolibrary.org/obo/UBERON_0008979,,,,
14,Muskel,,,,,
15,Tatar/Schabefleisch,,,,,
16,"Feldsalat, Rucola oder Pflücksalat",,,,,
17,Babyspinat,,,,,
18,Getrocknete Blatt- und Grasprodukte,,,,,
19,Rohmilchkäse,,,,,
20,Garnelen,,,,,
21,Kot,,,,,
22,Kiemeninhalt,,,,,
23,"Eier, unsortiert",,,,,
24,Weichkäse und halbfester Schnittkäse,,,,,
25,Schlachtkörper,http://purl.obolibrary.org/obo/UBERON_0008979,,,,
26,Staub,,,,,
27,Alleinfuttermittel,,,,,
28,Frisches Fleisch,,,,,
29,Erdbeeren,,,,,
30,Nasentupfer,https://w3id.org/hso#ZOO_CAT_SMPTYP_S015A,,,,
31,Streichfähige Rohwürste,,,,,
32,Frisches Fleisch,https://w3id.org/hso#ZOO_CAT_SMPTYP_S022A,,,,
33,Muscheln,,,,,
34,Tomaten,,,,,
35,Blinddarminhalt,,,,,
36,Kot,http://purl.obolibrary.org/obo/UBERON_0001988,,,,
37,Haut,,,,,
38,Nasenschleimhaut,,,,,
39,Hackfleisch,,,,,
40,Blattsalate,,,,,
