1,"S. 4,12:d:-","",,,,
2,"S. 4,[5],12:i:-","",,,,
3,S. Abony,"",,,,
4,S. Abortusovis,"",,,,
5,S. Adelaide,"",,,,
6,S. Agona,"",,,,
7,S. Ajiobo,"",,,,
8,S. Albany,"",,,,
9,S. Amsterdam,"",,,,
10,S. Anatum,"",,,,
11,S. Bareilly,"",,,,
12,S. Berta,"",,,,
13,S. Blockley,"",,,,
14,S. Bovismorbificans,"",,,,
15,S. Braenderup,"",,,,
16,S. Brandenburg,"",,,,
17,S. Bredeney,"",,,,
18,S. Cerro,"",,,,
19,S. Chester,"",,,,
20,S. Choleraesuis,"",,,,
21,S. Coeln,"",,,,
22,S. Corvallis,"",,,,
23,S. Cotham,"",,,,
24,S. Cremieu,"",,,,
25,S. Cubana,"",,,,
26,S. Derby,"",,,,
27,S. Dublin,"",,,,
28,S. Durham,"",,,,
29,S. Eboko,"",,,,
30,S. Enteritidis,"",,,,
31,S. Gallinarum,"",,,,
32,S. Gaminara,"",,,,
33,S. Give,"",,,,
34,S. Goldcoast,"",,,,
35,S. Hadar,"",,,,
36,S. Hartford,"",,,,
37,S. Havana,"",,,,
38,S. Heidelberg,"",,,,
39,S. Hessarek,"",,,,
40,S. Hvittingfoss,"",,,,
41,S. Idikan,"",,,,
42,S. Indiana,"",,,,
43,S. Infantis,"",,,,
44,S. Isangi,"",,,,
45,S. Johannesburg,"",,,,
46,S. Kedougou,"",,,,
47,S. Kentucky,"",,,,
48,S. Kiambu,"",,,,
49,S. Kottbus,"",,,,
50,S. Leeuwarden,"",,,,
51,S. Limete,"",,,,
52,S. Litchfield,"",,,,
53,S. Liverpool,"",,,,
54,S. Livingstone,"",,,,
55,S. Llandoff,"",,,,
56,S. London,"",,,,
57,S. Manhattan,"",,,,
58,S. Martonos,"",,,,
59,S. Mbandaka,"",,,,
60,S. Miami,"",,,,
61,S. Minnesota,"",,,,
62,S. Montevideo,"",,,,
63,S. Muenster,"",,,,
64,S. Newport,"",,,,
65,S. Nyborg,"",,,,
66,S. Ohio,"",,,,
67,S. Oranienburg,"",,,,
68,S. Ordonez,"",,,,
69,S. Orion,"",,,,
70,S. Paratyphi B,"",,,,
71,S. Paratyphi B (dt+),"",,,,
72,S. Potsdam,"",,,,
73,S. Putten,"",,,,
74,S. Rauform,"",,,,
75,S. Reading,"",,,,
76,S. Rissen,"",,,,
77,S. Rubislaw,"",,,,
78,S. Saintpaul,"",,,,
79,S. Schleissheim,"",,,,
80,S. Schwarzengrund,"",,,,
81,S. Senftenberg,"",,,,
82,S. Stanley,"",,,,
83,S. Stanleyville,"",,,,
84,S. Stourbridge,"",,,,
85,S. Subspec. I Rauform,"",,,,
86,S. Subspez. I monophasisch,"",,,,
87,S. Subspez. II,"",,,,
88,S. Subspez. IIIb monophasisch,"",,,,
89,S. Subspezies I,"",,,,
90,S. Subspezies I Rauform,"",,,,
91,S. Subspezies I monophasisch,"",,,,
92,S. Subspezies II,"",,,,
93,S. Subspezies IIIa,"",,,,
94,S. Subspezies IIIb,"",,,,
95,S. Subspezies IIIb monophasisch,"",,,,
96,S. Subspezies IV,"",,,,
97,S. Takoradi,"",,,,
98,S. Telhashomer,"",,,,
99,S. Tennessee,"",,,,
100,S. Thompson,"",,,,
101,S. Typhimurium,http://purl.obolibrary.org/obo/NCBITaxon_90371,,,,
102,S. Typhimurium monophasisch,http://purl.obolibrary.org/obo/NCBITaxon_909946,,,,
103,S. Urbana,"",,,,
104,S. Veneziana,"",,,,
105,S. Virchow,"",,,,
106,S. Wagenia,"",,,,
107,S. Worthington,"",,,,
108,S. der Gruppe B,"",,,,
109,S. der Gruppe C1,"",,,,
110,S. der Gruppe E,"",,,,
